aakkosellinen	الفبایی
hankala tilanne	سر ، کله ، راس ، عدد ، نوک ، ابتداء ، انتها ، دماغه ، دهانه ، رءیس ، سالا ر ، عنوان ، موضوع ، منتها درجه ، موی سر ، فهم ، خط سر ، فرق ، سرصفحه ، سرستون ، سر درخت ، اصلی ، عمده ، مهم ، : سرگذاشتن به ، دارای سرکردن ، ریاست داشتن بر ، رهبری کردن ، دربالا واقع شدن, تنگ ، باریک ، دشوار ، باب ، بغاز ، تنگه ، در مضیقه ، در تنگنا ، تنگنا
hankaluus	مسلله ، مشکل
hankausaine	ساینده ، تراشنده ، سوزش اور ، سایا
hankautuma	خراش ، سایش ، ساییدگی, پوست رفتگی ، تراش, پنجول زدن ، با ناخن و جنگال خراشیدن ، خاراندن ، پاک کردن ، زدودن ، باکهنه یاچیزی ساییدن یا پاک کردن ، تراشیدن ، خراشیدن ، خراش ، اثر خراش ، گیر ، گرفتاری, خراشیدن ، خاراندن ، خط زدن ، قلم زدن ، خراش ، تراش
hanke	عمل تهورامیز ، امرخطیر ، اقدام مهم ، , سرمایه گذاری ، تشکیلا ت اقتصادی ، مبادرت بکاری کردن ، اقدام کردن
hanki	کبره ، کبره بستن ، قسمت خشک و سخت نان ، پوست نان ، قشر ، پوسته سخت هر چیزی ، ادم جسور و بی ادب, برف ، برف باریدن ، برف امدن, تره تیزک سنگی ، برف باد اورد ، برف توده
hankkia	بدست اوردن ، حاصل کردن ، اندوختن ، پیداکردن, دست یافتن ، رسیدن ، ناءل شدن ، موفق شدن ، تمام کردن ، بدست اوردن ، بانتهارسیدن ، زدن, بدست اوردن ، فراهم کردن ، گرفتن
hansikas	دستکش, دستکش دارای یک جا برای چهار انگشت ویکجا برای انگشت شست
hansikaslokero	جعبه کوچک مخصوص اچار و غیره در جلو اتومبیل ، جعبه داش بورد
hapan	ترش ، حامض ، سرکه مانند ، دارای خاصیت اسید ، جوهر اسید ، ترشرو ، بداخلا ق ، بدجنسی ، جوهر ، محک, ترش ، تند ، ترش بودن ، مزه اسید داشتن ، مثل غوره وغیره) ، ترش شدن
haparoida	کورمالی ، دست مالی ، کورمالی کردن ، در تاریکی پی چیزی گشتن ، ازمودن
happi	اکسیژن ، اکسیژن دار
happo	ترش ، حامض ، سرکه مانند ، دارای خاصیت اسید ، جوهر اسید ، ترشرو ، بداخلا ق ، بدجنسی ، جوهر ، محک
hapuilla	کورمالی ، دست مالی ، کورمالی کردن ، در تاریکی پی چیزی گشتن ، ازمودن
harakka	کلا غ جاره ، زاغی ، کلا غ زاغی ، ادم وراج ، زن بد دهن
harava	شیار ، اثر ، شن کش ، چنگک ، چنگال ، خط سیر ، جای پا ، جاده باریک ، شکاف ، خمیدگی ، شیب ، هرزه ، فاجر ، بد اخلا ق ، فاسد ، رگه ، سفر ، با سرعت جلو رفتن ، با چنگک جمع کردن ، جمع اوری کردن
haravoida	شیار ، اثر ، شن کش ، چنگک ، چنگال ، خط سیر ، جای پا ، جاده باریک ، شکاف ، خمیدگی ، شیب ، هرزه ، فاجر ، بد اخلا ق ، فاسد ، رگه ، سفر ، با سرعت جلو رفتن ، با چنگک جمع کردن ، جمع اوری کردن
harha	سفسطه ، دلیل سفسطه امیز ، استدلا ل غلط, فریب ، گول ، حیله ، خیال باطل ، وهم
harhaanjohtaa	فریفتن ، فریب دادن ، گول زدن ، اغفال کردن ، مغبون کردن, فریب دادن ، اغفال کردن, گمراه کردن ، باشتباه انداختن ، فریب دادن
harhaanjohtava	بی راهه ، کج ، غیر مستقیم ، منحرف ، گمراه, غلط ، سفسطه امیز, مایل ، مورب
harhainen	پیشقدر دار
harhaluulo	سفسطه ، دلیل سفسطه امیز ، استدلا ل غلط
harhauttaa	توپ زدن ، حریف را از میدان درکردن ، توپ ، قمپز ، چاخان ، سراشیب ، پرتگاه, وانمود ، نمایش دروغی ، تظاهر ، خدعه ، فریب ، حمله خدعه امیز ، وانمود کردن
harhautus	شاه ماهی سرخ ، موضوع مطرح شده برای فرار از طرح موضوع مورد بحث ، پی نخود سیاه فرستادن
harja	پاک کن ، ماهوت پاک کن ، لیف ، کفش پاک کن و مانند ان ، قلم مو ، علف هرزه ، ماهوت پاک کن زدن ، مسواک زدن ، لیف زدن ، قلم مو زدن ، نقاشی کردن ، تماس حاصل کردن واهسته گذشتن ، تندگذشتن ، بروس لوله, تاج ، کلا له ، قله ، یال ، بالا ترین درجه ، به بالا ترین درجه رسیدن ، ستیغ
harjaksinen	زبر ، دارای موی زبر ، جنگی
harjoitella	مشق ، ورزش ، تمرین ، تکرار ، ممارست ، تمرین کردن ، ممارست کردن ، پرداختن ، برزش ، برزیدن, گفتن ، تمرین کردن ، تکرار کردن, قطار ، سلسله ، تربیت کردن
harjoittaa	بکار بردن ، بکار زدن ، استعمال کردن ، اجرا کردن ، اعمال کردن ، متصل کردن ، بهم بستن ، درخواست کردن ، شامل شدن ، قابل اجرا بودن, مزد ، دستمزد ، اجرت ، کار مزد ، دسترنج ، حمل کردن ، جنگ بر پا کردن ، اجیر کردن ، اجر
harjoittelija	کار اموز ، فرهیختگر
harjoittelu	مشق ، ورزش ، تمرین ، تکرار ، ممارست ، تمرین کردن ، ممارست کردن ، پرداختن ، برزش ، برزیدن
harjoitus	تمرین ، مشق نظامی ، مته زدن ، مته ، تعلیم دادن ، تمرین کردن, ورزش ، تمرین ، مشق ، عمل کردن ، استعمال کردن ، تمرین دادن ، بکارانداختن
harjoitustehtv	ورزش ، تمرین ، مشق ، عمل کردن ، استعمال کردن ، تمرین دادن ، بکارانداختن
harjus	ماهیان وابسته به ماهی قزل الا
harkita	ارزیابی کردن ، تقویم کردن ، تخمین زدن, قدر ، اعتبار ، اقدام ، رعایت ارزش ، نظر ، شهرت ، ارجمندشمردن ، لا یق دانستن ، محترم شمردم, ملا حظه ، مراعات ، رعایت ، توجه ، درود ، سلا م ، بابت ، باره ,نگاه ، نظر ، ملا حظه کردن ، اعتنا کردن به ، راجع بودن به ، وابسته بودن به ، نگریستن ، نگاه کردن ، احترام
harkitsematon	بی احتیاط ، بی تدبیر, بی احتیاط ، بی ملا حظه, فاقد حس تشخیص ، بی تمیز ، بی احتیاط ، بی ملا حظه, تند ، عجول ، بی پروا ، بی احتیاط ، محل خارش یا تحریک روی پوست ، جوش ، دانه
harkittava asia	چگونگی ، شرح ، تفصیل ، رویداد ، امر ، پیشامد ، شرایط محیط ، اهمیت, ملا حظه ، رسیدگی ، توجه ، مراعات
harkittu	بافکر باز ودرست ، با اندیشه صحیح ، مطرح شده, کلمه پسوندیست بمعنی' راه و روش و طریقه و جنبه' و' عاقل.
harmaa	خاکستری ، کبود ، سفید(درمورد موی سرو غیره) ، سفید شونده ، روبه سفیدی رونده ، باستانی ، کهنه ، پیر ، نا امید ، بد بخت ، بیرنگ, خاکستری, خاکستری ، قزل ، سرخ تیره ، موی سفید ، خرس خاکستری امریکا ، نیشخند زدن ، نالیدن ، خاکستری کردن
harmaanruskea	رنگ قهوه ای کمرنگ ، سمند ، خاکی ، اسب کهر ، سماجت کردن ، ازار دادن
harmi	ازردن, اسیب ، صدمه ، اذیت ، زیان ، ضرر ، خسارت ، اسیب رساندن (به) ، صدمه زدن ، گزند
harmonia	هم اهنگی ، هم صدایی ، توافق صدا, هارمونی ، تطبیق ، توازن ، هم اهنگی ، همسازی
harmonikka	اکوردءون, ارغنون, عضو ، الت ، ارگان, یکنوع الت موسیقی بادی
harmoninen	هم اهنگ ، موزون ، هارمونیک ، همساز
harrastaja	مرید ، جانسپار ، فدایی ، مخلص ، پارسا ، زاهد ، هواخواه ، مجاهد
hartia	شانه ، دوش ، کتف ، هرچیزی شبیه شانه ، جناح ، باشانه زور دادن ، هل دادن
harva	شل ، سست ، لق ، گشاد ، ول ، ازاد ، بی ربط ، هرزه ، بی بندوبار ، لوس وننر ، بی پایه ، بی قاعده ، رهاکردن ، درکردن(گلوله وغیره) ، منتفی کردن ، برطرف کردن ، شل وسست شدن ، نرم وازاد شدن ، حل کردن ، از قید مسلولیت ازاد ساختن ، سبکبار کردن ، پرداختن
harvoin	بسیار کم ، بندرت ، خیلی کم ، ندرتا
hasis	حشیش ، بنگ
hassu	مضحک ، خنده دار ، خنده اور ، عجیب ، بامزه
hattu	کلا ه ، کلا ه کاردینالی
haudata	بخاک سپردن ، دفن کردن ، از نظر پوشاندن, فراموش کردن ، فراموشی ، صرفنظر کردن ، غفلت
haukata	گاز گرفتن ، گزیدن ، نیش زدن ، گاز ، گزش ، گزندگی ، نیش, لقمه یا تکه کوچک ، گاز زدن ، اندک اندک خوردن ، مثل بز جویدن, چیدن ، کندن ، کلنگ زدن و(به) ، باخلا ل پاک کردن ، خلا ل دندان بکاربردن ، نوک زدن به ، برگزیدن ، بازکردن(بقصد دزدی) ، ناخنک زدن ، عیبجویی کردن ، دزدیدن ، کلنگ ، زخمه ، مضراب ، خلا ل دندان ، خلا ل گوش (toothpick) ، هرنوع الت نوک تیز
hauki	کلنگ دوسر ، نیزه دسته چوبی ، میخ نوک تیز ، نوک نیزه ، هرچیز نوک تیز ، قله کوه نوک تیز ، اردک ماهی ، عزیمت کردن ، سریعا رفتن ، رحلت کردن ، نیزه زدن ، باچیز نوک تیزسوراخ کردن
haukka	قوش ، شاهین ، باز ، توپ قدیمی, باز ، قوش ، شاهین ، بابازشکار کردن ، دوره گردی کردن ، طوافی کردن ، جار زدن و جنس فروختن ، فروختن
haukku	پوست درخت ، عوعو ، وغ وغ کردن ، پوست کندن
haukkua	پوست درخت ، عوعو ، وغ وغ کردن ، پوست کندن
haukotella	خمیازه ، نگاه خیره با دهان باز ، خلا ء ، خمیازه کشیدن ، دهان را خیلی باز کردن ، با شگفتی نگاه کردن ، خیره نگاه کردن, دهن دره کردن ، خمیازه کشیدن ، با حال خمیازه سخن گفتن ، دهن دره
haukotus	خمیازه ، نگاه خیره با دهان باز ، خلا ء ، خمیازه کشیدن ، دهان را خیلی باز کردن ، با شگفتی نگاه کردن ، خیره نگاه کردن, انحراف کشتی از مسیر خود ، انحراف ، تجاوز از حدود ، از مسیر خود منحرف شدن, دهن دره کردن ، خمیازه کشیدن ، با حال خمیازه سخن گفتن ، دهن دره
hauli	چارپاره ، ساچمه درشت
haulikko	تفنگ ساچمه ای
haupitsi	خمپاره انداز ، توپ کوتاه لوله
hauras	ترد ، شکننده ، بی دوام ، زودشکن
hauta	قبر ، گودال ، سخت ، بم ، خطرناک ، بزرگ ، مهم ، موقر ، سنگین ، نقش کردن ، تراشیدن ، حفر کردن ، قبر کندن ، دفن کردن, گور ، ارامگاه ، قبر ، در گرو قرار دادن ، مقبره
hautoa	بر خوابیدن ، روی تخم خوابیدن ، جوجه کشی کردن
